,code,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4508,83101,Jln Eunos,Eunos Stn,1.32066709057479,103.90489836683336,3887.8888888888887,1317.095238095238,2573.9841269841268,897.3174603174604,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4509,83109,Jln Eunos,Opp Eunos Stn,1.32135678897249,103.90537221650075,1167.4761904761904,421.36507936507934,2175.2698412698414,777.8253968253969,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4510,83111,Jln Eunos,Blk 17,1.32346854012914,103.90527311322877,1170.2222222222222,315.1111111111111,856.5555555555555,271.58730158730157,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4511,83119,Jln Eunos,Opp Blk 16,1.32306974700238,103.90560762847845,1132.6984126984128,383.0,1456.8253968253969,441.63492063492066,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4512,83121,Telok Kurau Rd,Bef Lor K Telok Kurau,1.31260836391216,103.91063424326731,387.9074074074074,131.13333333333333,200.05555555555554,60.21666666666667,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4513,83129,Telok Kurau Rd,Aft Ji Xiang Ct,1.31306365118709,103.91061094817724,151.3793103448276,55.63793103448276,298.2758620689655,109.82758620689656,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4514,83131,Telok Kurau Rd,Aft Lor H Telok Kurau,1.31631138897106,103.90907722199168,140.7017543859649,53.07017543859649,78.33333333333333,26.526315789473685,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4515,83139,Telok Kurau Rd,Aft Joo Chiat Pl,1.31451138900044,103.90997555601626,114.86666666666666,40.166666666666664,91.13333333333334,34.333333333333336,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4516,83141,Telok Kurau Rd,Aft Lor G Telok Kurau,1.31763611995973,103.90845006395246,70.70175438596492,32.73684210526316,79.42105263157895,30.43859649122807,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4517,83149,Telok Kurau Rd,Aft Changi Rd,1.31745755005277,103.90875486321198,35.107142857142854,15.722222222222221,33.642857142857146,17.88888888888889,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4518,83151,Joo Chiat Pl,Parkway East Hosp,1.31488002411227,103.90911503893872,275.73333333333335,94.61666666666666,515.7666666666667,159.73333333333332,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4519,83159,Joo Chiat Pl,Opp Parkway East Hosp,1.31480354064185,103.90947767042405,409.49122807017545,131.864406779661,286.50877192982455,97.59322033898304,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4520,83169,Joo Chiat Pl,Bef Still Rd,1.31428121358171,103.90687033808844,80.85714285714286,32.72727272727273,79.03571428571429,27.763636363636362,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4521,83171,Frankel Ave,Bef Roseburn Ave,1.3147363890036,103.91900527803291,97.28070175438596,43.785714285714285,58.68421052631579,19.571428571428573,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4522,83179,Frankel Ave,Aft Siglap Dr,1.31460443311119,103.91922466611177,62.24561403508772,23.696428571428573,158.19298245614036,61.05357142857143,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4523,83181,Frankel Ave,Aft Bethesda Frankel Ch,1.31662343088137,103.91755342481619,78.19298245614036,31.928571428571427,31.982456140350877,7.160714285714286,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4524,83189,Frankel Ave,Bef Bethesda Frankel Ch,1.31683972198045,103.91749277802164,31.736842105263158,5.481481481481482,51.50877192982456,16.72222222222222,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4525,83191,Frankel Ave,Bef Frankel Dr,1.31729916899357,103.91597628595028,15.620689655172415,7.464285714285714,21.637931034482758,6.696428571428571,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4526,83199,Frankel Ave,Aft Frankel Dr,1.31733638898862,103.91628277801507,9.894736842105264,4.203703703703703,22.385964912280702,7.481481481481482,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4527,83201,Frankel Ave,Bef Frankel Terr,1.31860774070821,103.91440987586641,9.172413793103448,5.696428571428571,88.37931034482759,33.30357142857143,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4528,83209,Frankel Ave,Aft Frankel Terr,1.31870305598811,103.91459583301028,99.875,37.851851851851855,7.732142857142857,4.537037037037037,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4529,83219,Siglap Dr,Bef Frankel Ave,1.31587375170111,103.9191305648774,117.46296296296296,37.166666666666664,36.01851851851852,10.907407407407407,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4530,83229,Siglap Dr,Bef Carlton Ave,1.31661259109687,103.92083645128875,45.370370370370374,12.333333333333334,47.592592592592595,14.407407407407407,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4531,83231,Siglap Rd,Bef Siglap Dr,1.31726812920156,103.92214229972099,113.75438596491227,37.89473684210526,112.47368421052632,25.157894736842106,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4532,83239,Siglap Rd,Opp Cheviot Hill,1.3169597007985,103.92246139079549,75.98214285714286,17.37037037037037,85.76785714285714,20.5,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4533,83249,Siglap Rd,Flamingo Valley,1.31786650545216,103.92174594601859,87.81818181818181,29.703703703703702,152.4909090909091,50.24074074074074,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4534,83251,Fidelio St,Bef Jln Khairuddin,1.31923829366992,103.92199914721091,14.444444444444445,3.685185185185185,44.111111111111114,17.85185185185185,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4535,83261,Fidelio St,Opera Est Pr Sch,1.3190690667828,103.9242469847813,68.33333333333333,2.277777777777778,122.35185185185185,34.166666666666664,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4536,83269,Fidelio St,Opp Opera Est Pr Sch,1.31895097253228,103.92346501346623,41.96153846153846,13.88679245283019,2.711538461538462,0.811320754716981,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4537,83271,Fidelio St,Aft Swan Lake Ave,1.31928964158986,103.92588543589487,17.25925925925926,7.037037037037037,69.35185185185185,24.314814814814813,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4538,83279,Fidelio St,Aft Carmen St,1.3188308339316,103.92510530820441,120.35185185185185,53.48148148148148,12.185185185185185,4.37037037037037,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4539,83281,Fidelio St,Bef Tosca St,1.31965172299504,103.9270176945798,34.166666666666664,12.648148148148149,38.351851851851855,12.277777777777779,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4540,83291,Still Rd,Aft Joo Chiat Pl,1.31473309387158,103.90589521764187,615.8,225.16666666666666,271.1666666666667,87.48333333333333,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4541,83299,Still Rd,Aft Lor G Telok Kurau,1.31574389673514,103.90586328314893,422.06779661016947,140.22413793103448,737.1864406779661,265.1896551724138,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4542,83301,Still Rd,Aft East Coast Rd,1.30887166700305,103.90817888897894,518.2166666666667,192.96666666666667,120.83333333333333,43.03333333333333,KATONG,MPSZ02,MARINE PARADE,MP,CENTRAL REGION,CR
4543,83309,Still Rd,Aft Still Lane,1.31045482788745,103.90806851700533,79.9298245614035,29.017543859649123,399.5438596491228,154.9298245614035,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4544,83311,Still Rd,Aft Lor Nangka,1.31241970275404,103.90692990251455,314.4406779661017,120.32758620689656,135.66101694915255,41.91379310344828,KATONG,MPSZ02,MARINE PARADE,MP,CENTRAL REGION,CR
4545,83319,Still Rd,Aft Lor J Telok Kurau,1.31268833645873,103.90714010649674,120.12280701754386,37.31578947368421,289.7368421052632,108.19298245614036,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4546,83321,Jln Kembangan,Kembangan Stn,1.32168778524368,103.9136543376456,723.6833333333333,266.5263157894737,691.4333333333333,257.9122807017544,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4547,83329,Jln Kembangan,Opp Kembangan Stn,1.32198642679896,103.91379833222052,456.4035087719298,174.36363636363637,444.719298245614,169.25454545454545,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4548,83331,Lengkong Tiga,Kg Kembangan CC,1.32349513640884,103.91271655859842,27.0,5.1,6.518518518518518,1.92,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
