,name,stop_id,line,no,lng,lat,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
161,HOUGANG MRT STATION,NE14,NE,63,103.8923805,1.371292292,1,HOUGANG CENTRAL,HGSZ01,HOUGANG,HG,NORTH-EAST REGION,NER
162,BOON KENG MRT STATION,NE9,NE,14,103.8616865,1.319395706,1,BENDEMEER,KLSZ01,KALLANG,KL,CENTRAL REGION,CR
163,UPPER CHANGI MRT STATION,DT34,DT,158,103.9614718,1.341737484,4,SIMEI,TMSZ04,TAMPINES,TM,EAST REGION,ER
164,CHANGI AIRPORT MRT STATION,CG2,CG,30,103.9883647,1.357314545,3,CHANGI AIRPORT,CHSZ03,CHANGI,CH,EAST REGION,ER
165,WOODLANDS MRT STATION,TE2,TE,159,103.7879308,1.436066981,1,WOODLANDS REGIONAL CENTRE,WDSZ01,WOODLANDS,WD,NORTH REGION,NR
166,BRADDELL MRT STATION,NS18,NS,17,103.8467978,1.340471684,1,TOA PAYOH WEST,TPSZ01,TOA PAYOH,TP,CENTRAL REGION,CR
167,BUANGKOK MRT STATION,NE15,NE,19,103.8931216,1.382877858,5,COMPASSVALE,SESZ05,SENGKANG,SE,NORTH-EAST REGION,NER
168,PROMENADE MRT STATION,CC4,CC,110,103.8609992,1.293218051,3,MARINA CENTRE,DTSZ03,DOWNTOWN CORE,DT,CENTRAL REGION,CR
169,BOTANIC GARDENS MRT STATION,CC19,CC,16,103.8149828,1.322110193,4,TYERSALL,TNSZ04,TANGLIN,TN,CENTRAL REGION,CR
170,HOLLAND VILLAGE MRT STATION,CC21,CC,62,103.7961918,1.31183479,7,LEEDON PARK,BTSZ07,BUKIT TIMAH,BT,CENTRAL REGION,CR
171,OUTRAM PARK MRT STATION,EW16,EW,101,103.8391265,1.281404978,2,PEOPLE'S PARK,OTSZ02,OUTRAM,OT,CENTRAL REGION,CR
172,TELOK BLANGAH MRT STATION,CC28,CC,148,103.8097486,1.270753211,1,MARITIME SQUARE,BMSZ01,BUKIT MERAH,BM,CENTRAL REGION,CR
173,TELOK AYER MRT STATION,DT18,DT,147,103.8483028,1.282289536,3,CHINATOWN,OTSZ03,OUTRAM,OT,CENTRAL REGION,CR
174,NEWTON MRT STATION,NS21,NS,94,103.8379853,1.3123201,3,NEWTON CIRCUS,NTSZ03,NEWTON,NT,CENTRAL REGION,CR
175,CANBERRA MRT STATION,NS12,NS,28,103.8297118,1.4431367,2,SEMBAWANG SPRINGS,SBSZ02,SEMBAWANG,SB,NORTH REGION,NR
176,WOODLANDS NORTH MRT STATION,TE1,TE,160,103.7856927,1.4482925,7,GREENWOOD PARK,WDSZ07,WOODLANDS,WD,NORTH REGION,NR
177,JURONG EAST MRT STATION,EW24 / NS1,EW,67,103.7422865,1.33315262,6,JURONG GATEWAY,JESZ06,JURONG EAST,JE,WEST REGION,WR
178,JURONG EAST MRT STATION,EW24 / NS1,NS,67,103.7422865,1.33315262,6,JURONG GATEWAY,JESZ06,JURONG EAST,JE,WEST REGION,WR
179,CITY HALL MRT STATION,EW13 / NS25,EW,36,103.8525859,1.292936243,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
180,CITY HALL MRT STATION,EW13 / NS25,NS,36,103.8525859,1.292936243,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
181,HARBOURFRONT MRT STATION,NE1 / CC29,NE,59,103.8214431,1.26547264,1,MARITIME SQUARE,BMSZ01,BUKIT MERAH,BM,CENTRAL REGION,CR
182,HARBOURFRONT MRT STATION,NE1 / CC29,CC,59,103.8214431,1.26547264,1,MARITIME SQUARE,BMSZ01,BUKIT MERAH,BM,CENTRAL REGION,CR
183,BAYFRONT MRT STATION,DT16 / CE1,DT,6,103.8590798,1.281873788,12,BAYFRONT SUBZONE,DTSZ12,DOWNTOWN CORE,DT,CENTRAL REGION,CR
184,BAYFRONT MRT STATION,DT16 / CE1,CE,6,103.8590798,1.281873788,12,BAYFRONT SUBZONE,DTSZ12,DOWNTOWN CORE,DT,CENTRAL REGION,CR
185,RAFFLES PLACE MRT STATION,EW14 / NS26,EW,115,103.8514617,1.284125611,5,RAFFLES PLACE,DTSZ05,DOWNTOWN CORE,DT,CENTRAL REGION,CR
186,RAFFLES PLACE MRT STATION,EW14 / NS26,NS,115,103.8514617,1.284125611,5,RAFFLES PLACE,DTSZ05,DOWNTOWN CORE,DT,CENTRAL REGION,CR
187,PUNGGOL LRT STATION,PTC,PE,111,103.9024119,1.405194701,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
188,PUNGGOL LRT STATION,PTC,PW,111,103.9024119,1.405194701,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
189,SENGKANG LRT STATION,STC,SE,126,103.8954426,1.391609364,3,SENGKANG TOWN CENTRE,SESZ03,SENGKANG,SE,NORTH-EAST REGION,NER
190,SENGKANG LRT STATION,STC,SW,126,103.8954426,1.391609364,3,SENGKANG TOWN CENTRE,SESZ03,SENGKANG,SE,NORTH-EAST REGION,NER
191,MACPHERSON MRT STATION,CC10,CE,86,103.890287,1.326345372,2,MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
192,KENT RIDGE MRT STATION,CC24,CE,74,103.7846314,1.293462633,11,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,QUEENSTOWN,QT,CENTRAL REGION,CR
193,ONE-NORTH MRT STATION,CC23,CE,99,103.7874575,1.299759879,8,ONE NORTH,QTSZ08,QUEENSTOWN,QT,CENTRAL REGION,CR
194,BISHAN MRT STATION,CC15,CE,13,103.8491544,1.35130868,3,BISHAN EAST,BSSZ03,BISHAN,BS,CENTRAL REGION,CR
195,STADIUM MRT STATION,CC6,CE,135,103.8753503,1.30284063,5,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
196,BUKIT BROWN MRT STATION,CC18,CE,22,103.8306896,1.333728882,5,MOUNT PLEASANT,NVSZ05,NOVENA,NV,CENTRAL REGION,CR
197,MOUNTBATTEN MRT STATION,CC7,CE,93,103.8825281,1.306201905,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
