,stop_id,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4394,80091,Sims Ave,Bef Lor 23 Geylang,1.314897752,103.8809514,1473.746032,663.6190476,1560.761905,715.0793651,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4395,80101,Lor 1 Geylang,Kallang Stn/Opp Blk 2C,1.312519335,103.8715383,3060.983607,1076,1352.770492,585.557377,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4396,80109,Lor 1 Geylang,Opp Kallang Stn/Blk 2C,1.313244737,103.8714302,523.8571429,228.4444444,2420.047619,821.6190476,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4397,80111,Sims Way,Bef Geylang Rd,1.309871381,103.875515,156.9836066,81.31666667,170.9508197,87.56666667,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
4398,80119,Sims Way,Aft Geylang Rd,1.309920655,103.875998,327.75,175.7166667,633.2333333,334.3666667,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4399,80141,Mountbatten Rd,Opp S.A. Deaf,1.307118355,103.8798937,478.2666667,149.4166667,540.6833333,174.35,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4400,80149,Mountbatten Rd,S.A. Deaf,1.307496371,103.8798058,602.2622951,193.5423729,572.2459016,186.9491525,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4401,80151,Nicoll Highway,Opp Suntec City,1.296405321,103.8579113,297.4655172,132.8947368,182.7068966,85.24561404,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
4402,80159,Nicoll Highway,Suntec City,1.295962317,103.8579517,337.1833333,144.6666667,523.6833333,238.25,MARINA CENTRE,DTSZ03,DOWNTOWN CORE,DT,CENTRAL REGION,CR
4403,80161,Nicoll Highway,Opp Nicoll Highway Stn,1.300327156,103.8624541,344.5614035,135.2807018,298.2982456,118.2982456,NICOLL,DTSZ13,DOWNTOWN CORE,DT,CENTRAL REGION,CR
4404,80169,Nicoll Highway,Nicoll Highway Stn,1.300705476,103.8633601,211.2666667,85.23333333,416.3666667,160.2833333,NICOLL,DTSZ13,DOWNTOWN CORE,DT,CENTRAL REGION,CR
4405,80171,Stadium Walk,CP F,1.300840752,103.8771535,2.803921569,2.130434783,3.882352941,2.195652174,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
